filmName,realName,realGender,filmBudget,firstFilm,year
Walter,Soudjian Varante,M,3.99,true,2018
Martin Eden,Marcello Pietro,M,3.95,false,2018
Le Daim,Dupieux Quentin,M,3.93,false,2018
Je voudrais que quelqu'un m'attende quelque part,Viard Arnaud,M,3.91,false,2018
"Roubaix, une lumière",Desplechin Arnaud,M,3.84,false,2018
Les Plus belles années,Lelouch Claude,M,3.83,false,2018
Mon corps vous ensevelira,La Parola Giovanni,M,3.80,false,2018
Made in China,Abraham Julien,M,3.69,false,2018
L’Etat sauvage,Perrault David,M,3.63,false,2018
Mais vous êtes fous,Diwan Audrey,F,3.61,true,2018
La Lutte des classes,Leclerc Michel,M,3.60,false,2018
Quand on crie au loup,Berry Marilou,F,3.60,false,2018
Una storia senza nome,Ando Roberto,M,3.60,false,2018
Les petits flocons,De Meaux Joséphine,F,3.55,true,2018
Les Vœux,Suco Sarah,F,3.54,true,2018
Les Coulisses du pouvoir,Moreh Dror,M,3.51,false,2018
Mignonnes,Doucoure Maïmouna,F,3.43,true,2018
Joueurs,Monge Marie,F,3.42,true,2018
Persona non grata,Zem Roschdy,M,3.41,false,2018
L’Escapade,Alcala José,M,3.34,false,2018
La Fille au bracelet,Demoustier Stéphane,M,3.33,false,2018
Un monde plus grand,Berthaud Fabienne,F,3.26,false,2018
Les Déguns,Droux Cyrille / Zidi Junior Claude,M,3.25,false,2018
Dans la gueule du requin,Hamon Emmanuel,M,3.25,true,2018
Remember me,Rosete Martin,M,3.17,false,2018
Sympathie pour le diable,Defontenay Guillaume,M,3.05,true,2018
Angle mort,Bernard Patrick Mario / Trividic Pierre,M,3.04,false,2018
Curiosa,Jeunet Lou,F,3.03,true,2018
Arthur et Célia,Jolivet Pierre,M,3.03,false,2018
Un vrai bonhomme,Parent Benjamin,M,3.01,true,2018
Yves,Forgeard Benoit,M,2.99,false,2018
Enorme,Letourneur Sophie,F,2.99,false,2018
Jumbo,Wittock Zoé,F,2.92,true,2018
Adorables,Cicurel Solange,F,2.92,false,2018
La Frontière,Fonteyne Frédéric,M,2.91,false,2018
Gomera,Porumboiu Corneliu,M,2.77,false,2018
Une fille facile,Zlotowski Rebecca,F,2.68,false,2018
Lola vers la mer,Micheli Laurent,M,2.68,false,2018
L’Inspiratrice,Magne Grégory,M,2.68,false,2018
Climax,Noe Gaspard,M,2.67,false,2018
Deux,Meneghetti Filippo,M,2.66,true,2018
Mon frère,Abraham Julien,M,2.65,false,2018
Je te promets d'être sage,Le Page Ronan,M,2.65,true,2018
Une jeunesse dorée,Ionesco Eva,F,2.63,false,2018
Pompei,Shank John / Falgueres Anna,F/M,2.62,false,2018
Nos batailles,Senez Guillaume,M,2.61,false,2018
L’Enfant roi,De Bary Antoine,M,2.60,true,2018
L’Extraordinaire voyage de Marona,Damian Anca,F,2.55,false,2018
Perdrix,Le Duc Erwan,M,2.50,true,2018
Donbass,Loznitsa Sergei,M,2.47,false,2018
The county,Hakonarson Grimur,M,2.46,false,2018
Les Amis des amis,Bonitzer Pascal,M,2.46,false,2018
La Dernière vie de Simon,Karmann Léo,M,2.42,true,2018
Cunningham,Kovgan Alla,F,2.41,false,2018
Andy,Weill Julien,M,2.38,true,2018
Les Particules,Harrison Blaise,M,2.36,true,2018
La Mémoire du sang,Petitjean Frédéric,M,2.30,true,2018
Just kids,Blanc Christophe,M,2.28,false,2018
Frankie,Sachs Ira,M,2.26,false,2018
Poissonsexe,Babinet Olivier,M,2.18,false,2018
"La Prochaine fois, le feu",Diop Mati,F,2.17,true,2018
L’Audition,Weisse Ina,F,2.15,false,2018
Furie,Abbou Olivier,M,2.10,false,2018
"Le Pape François, un homme de parole",Wenders Wim,M,2.08,false,2018
Debout sur la montagne,Betbeder Sébastien,M,2.08,false,2018
Les Châtelains,Cratzborn Vero,F,2.08,false,2018
La Nuit je mens,Batut Stéphane,M,2.07,true,2018
Bacurau,Filho Kleber Mendonca / Dornelles Juliano,M,2.04,false,2018
Un divan à Tunis,Labidi Manele,F,1.99,true,2018
Terminal Sud,Ameur-Zaimeche Rabah,M,1.83,false,2018
Merveilles à Montfermeil,Balibar Jeanne,F,1.82,true,2018
Vers la bataille,Vemhes-Lermusiaux Aurélien,M,1.73,true,2018
Camille,Lojkine Boris,M,1.70,false,2018
Gogo,Plisson Pascal,M,1.68,false,2018
The sonata,Desmond Andrew,M,1.68,true,2018
Profs de l'impossible,Therond Emilie,F,1.67,false,2018
Revenir,Palud Jessica,F,1.65,false,2018
La Sainte famille,De Lencquesaing Louis-Do,M,1.63,false,2018
Ballade pour un cœur en miettes,Economides Yannis,M,1.60,false,2018
Tijuana bible,Hue Jean-Charles,M,1.58,false,2018
Le Cahier noir,Sarmiento Valeria,F,1.56,false,2018
Staff only,Ballus Neus,F,1.35,false,2018
L’Invité,Chiarini Duccio,M,1.30,false,2018
Jump,Tverdovskiy Ivan I.,M,1.30,false,2018
Papicha,Meddour Mounia,F,1.30,true,2018
Technoboss,Nicolau Joao,M,1.29,false,2018
